Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,AYARI S,3.41,58.0516666667%,26.535%,13.9566666667%,0.715%,0.743333333333%,6
,,,,,,,
ARAB-221,,,,,,,
,AYARI S,3.95,95.824%,3.176%,1.0%,0.0%,0.0%,5
,KHAZAAL N,3.67,73.33%,20.0%,6.67%,0.0%,0.0%,1
,,,,,,,
ARAB-285,,,,,,,
,AYARI S,3.9,90.0%,10.0%,0.0%,0.0%,0.0%,1
,,,,,,,
ARAB-289,,,,,,,
,AYARI S,3.68,68.18%,31.82%,0.0%,0.0%,0.0%,1
,,,,,,,
ARAB-301,,,,,,,
,AYARI S,3.71,70.835%,29.165%,0.0%,0.0%,0.0%,2
,KHAZAAL N,3.36,53.57%,32.14%,10.715%,3.57%,0.0%,2
,,,,,,,
ARAB-302,,,,,,,
,AYARI S,3.54,61.54%,30.77%,7.69%,0.0%,0.0%,1
,KHAZAAL N,3.33,56.865%,21.765%,18.43%,2.94%,0.0%,2
,,,,,,,
ARAB-321,,,,,,,
,AYARI S,3.39,51.71%,35.895%,12.395%,0.0%,0.0%,2
,,,,,,,
ARAB-323,,,,,,,
,AYARI S,3.58,70.445%,19.555%,8.0%,2.0%,0.0%,2
,,,,,,,
ARAB-475,,,,,,,
,KHAZAAL N,3.4,73.33%,13.33%,0.0%,6.67%,6.67%,1
,,,,,,,
ARAB-489,,,,,,,
,AYARI S,3.78,78.3333333333%,21.6666666667%,0.0%,0.0%,0.0%,3
,KHAZAAL N,3.92,91.67%,8.33%,0.0%,0.0%,0.0%,1
,,,,,,,
ARAB-491,,,,,,,
,AYARI S,3.9,90.0475%,9.9525%,0.0%,0.0%,0.0%,4
