Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
CHEM-103,,,,,,,
,DARENSBOURG D,3.09,43.75%,25.0%,28.13%,3.13%,0.0%,1
,,,,,,,
CHEM-104,,,,,,,
,DARENSBOURG D,3.05,45.455%,22.73%,22.73%,9.095%,0.0%,2
,,,,,,,
CHEM-106,,,,,,,
,GABBAI F,2.77,17.65%,52.94%,17.65%,11.76%,0.0%,1
,GAEDE H,2.59,17.71%,39.0766666667%,30.5466666667%,9.49333333333%,3.17666666667%,3
,MACFARLANE R,3.35,47.83%,39.13%,13.04%,0.0%,0.0%,1
,MULLEN C,2.57,18.92%,29.73%,40.54%,10.81%,0.0%,1
,YENNELLO S,2.43,13.64%,38.64%,29.55%,13.64%,4.55%,1
,,,,,,,
CHEM-107,,,,,,,
,BARONDEAU D,2.36,17.085%,27.365%,38.02%,9.125%,8.4%,2
,BETHEL R,2.56,19.56%,36.74%,27.7%,12.15%,3.85%,1
,BROWN L,2.68,23.21%,37.25%,27.7666666667%,8.325%,3.44833333333%,6
,COLLINS D,2.41,16.08%,34.08%,32.64%,9.97%,7.23%,1
,GOODEY J,2.52,14.2933333333%,38.45%,34.8133333333%,10.01%,2.44%,3
,HUGHBANKS T,2.58,13.5225%,44.835%,30.2125%,8.6475%,2.7825%,4
,LEUNG T,2.55,21.14%,35.4%,24.935%,13.89%,4.635%,2
,RAYMOND J,2.67,17.55%,47.57%,22.62%,8.88%,3.38%,1
,,,,,,,
CHEM-111,,,,,,,
,BARONDEAU D,3.04,34.285%,43.095%,15.95%,3.335%,3.335%,2
,BATTEAS J,3.04,37.14%,45.71%,8.57%,2.86%,5.71%,1
,BETHEL R,2.72,17.962%,47.382%,25.96%,6.29%,2.412%,5
,BEVAN J,2.91,20.845%,56.265%,18.675%,1.82%,2.39%,2
,BROWN L,2.79,22.2633333333%,49.1466666667%,19.2116666667%,3.12%,6.25666666667%,6
,CHAKRABARTI M,2.83,19.77%,54.26%,17.05%,6.59%,2.33%,1
,COLLINS D,2.57,15.59%,42.085%,30.495%,8.35%,3.495%,2
